District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
12,2017,1091,2371,97
12,2018,906,2168,69
12,2019,903,2075,86
12,2020,671,2070,98
12,2021,722,2937,108
12,2022,620,2121,115
12,2023,659,2231,176
12,2024,599,2325,152
12,2025,528,2248,288
