District,Filing Quarter,Number of violent cases filed per quarter
12,2017 Q1,36
12,2017 Q2,38
12,2017 Q3,39
12,2017 Q4,34
12,2018 Q1,31
12,2018 Q2,32
12,2018 Q3,21
12,2018 Q4,44
12,2019 Q1,45
12,2019 Q2,23
12,2019 Q3,46
12,2019 Q4,34
12,2020 Q1,29
12,2020 Q2,39
12,2020 Q3,43
12,2020 Q4,33
12,2021 Q1,42
12,2021 Q2,44
12,2021 Q3,42
12,2021 Q4,28
12,2022 Q1,44
12,2022 Q2,46
12,2022 Q3,32
12,2022 Q4,34
12,2023 Q1,48
12,2023 Q2,42
12,2023 Q3,32
12,2023 Q4,48
12,2024 Q1,33
12,2024 Q2,38
12,2024 Q3,30
12,2024 Q4,27
12,2025 Q1,23
12,2025 Q2,33
12,2025 Q3,32
12,2025 Q4,35
12,2026 Q1,31
12,2026 Q2,36
12,2026 Q3,2
