Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1073,338,1411,24.0
2017 Q2,1158,428,1586,27.0
2017 Q3,1055,382,1437,26.6
2017 Q4,1110,396,1506,26.3
2018 Q1,1115,345,1460,23.6
2018 Q2,1073,454,1527,29.7
2018 Q3,1153,371,1524,24.3
2018 Q4,1049,343,1392,24.6
2019 Q1,1264,351,1615,21.7
2019 Q2,1150,372,1522,24.4
2019 Q3,1213,354,1567,22.6
2019 Q4,1116,367,1483,24.7
2020 Q1,942,332,1274,26.1
2020 Q2,544,201,745,27.0
2020 Q3,978,313,1291,24.2
2020 Q4,948,349,1297,26.9
2021 Q1,829,341,1170,29.1
2021 Q2,863,335,1198,28.0
2021 Q3,915,401,1316,30.5
2021 Q4,789,351,1140,30.8
2022 Q1,786,412,1198,34.4
2022 Q2,759,367,1126,32.6
2022 Q3,744,364,1108,32.9
2022 Q4,682,368,1050,35.0
2023 Q1,676,365,1041,35.1
2023 Q2,730,387,1117,34.6
2023 Q3,704,389,1093,35.6
2023 Q4,756,329,1085,30.3
2024 Q1,759,334,1093,30.6
2024 Q2,869,326,1195,27.3
2024 Q3,740,329,1069,30.8
2024 Q4,743,330,1073,30.8
2025 Q1,716,350,1066,32.8
2025 Q2,820,393,1213,32.4
2025 Q3,789,395,1184,33.4
2025 Q4,769,349,1118,31.2
