DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,45,128,173,26.0,136,482,618,22.0
2019 Q2,41,130,171,24.0,141,517,658,21.4
2020 Q4,19,101,120,15.8,87,465,552,15.8
2025 Q3,18,85,103,17.5,123,503,626,19.6
2021 Q3,17,101,118,14.4,102,491,593,17.2
2023 Q1,13,71,84,15.5,108,418,526,20.5
2017 Q3,52,103,155,33.5,99,365,464,21.3
2025 Q4,16,96,112,14.3,82,477,559,14.7
2021 Q2,16,92,108,14.8,83,436,519,16.0
2019 Q1,27,162,189,14.3,146,542,688,21.2
2022 Q2,19,69,88,21.6,100,485,585,17.1
2018 Q1,53,114,167,31.7,123,481,604,20.4
2019 Q4,35,146,181,19.3,110,494,604,18.2
2021 Q1,13,92,105,12.4,94,448,542,17.3
2019 Q3,56,137,193,29.0,142,535,677,21.0
2024 Q1,14,64,78,17.9,122,480,602,20.3
2018 Q2,55,131,186,29.6,121,461,582,20.8
2020 Q1,37,119,156,23.7,109,407,516,21.1
2023 Q4,13,59,72,18.1,118,471,589,20.0
2018 Q4,52,127,179,29.1,114,409,523,21.8
2020 Q3,17,132,149,11.4,87,437,524,16.6
2017 Q4,54,95,149,36.2,125,389,514,24.3
2024 Q3,13,63,76,17.1,117,412,529,22.1
2024 Q2,19,60,79,24.1,131,519,650,20.2
2017 Q1,42,83,125,33.6,124,400,524,23.7
2022 Q3,7,56,63,11.1,97,473,570,17.0
2025 Q1,22,68,90,24.4,111,431,542,20.5
2023 Q2,18,76,94,19.1,109,428,537,20.3
2017 Q2,45,91,136,33.1,115,422,537,21.4
2020 Q2,15,92,107,14.0,47,237,284,16.5
2023 Q3,17,77,94,18.1,121,415,536,22.6
2022 Q1,14,71,85,16.5,95,485,580,16.4
2024 Q4,19,70,89,21.3,100,423,523,19.1
2025 Q2,25,77,102,24.5,123,518,641,19.2
2021 Q4,20,73,93,21.5,91,466,557,16.3
2022 Q4,21,72,93,22.6,122,393,515,23.7
