Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3033.0,570.0,2534.0,302.0,483.0,206.0,18.0,214.0
Change since 2024,18.06150253,26.10619469,1.72621437,-4.12698413,0.0,24.09638554,-5.26315789,-8.54700855
