Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,705,152,1699,327,338,21
2021,1098,175,2074,309,474,15
2022,715,289,2159,218,442,22
2023,1077,327,2031,206,464,9
2024,1582,320,2076,196,429,10
2025,1809,411,2014,202,439,6
