Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,130,115,245,152,134,286,53.1,53.1
2020,97,83,180,124,123,247,53.9,50.2
2021,77,80,157,139,99,238,49.0,58.4
2022,70,47,117,131,75,206,59.8,63.6
2023,84,57,141,133,83,216,59.6,61.6
2024,72,53,125,113,101,214,57.6,52.8
