Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of White defendants detained pretrial
2020,138,72,210,751,281,1032,2417,826,3243,34.28571429,27.22868217,25.4702436
2021,129,91,220,743,334,1077,2424,981,3405,41.36363636,31.01207057,28.81057269
2022,133,83,216,647,385,1032,2108,1030,3138,38.42592593,37.30620155,32.82345443
2023,140,83,223,685,385,1070,1961,982,2943,37.21973094,35.98130841,33.36731227
2024,137,75,212,772,377,1149,2108,841,2949,35.37735849,32.81114012,28.51814174
2025,141,97,238,755,423,1178,2117,946,3063,40.75630252,35.90831919,30.88475351
