District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
08,2020,258,215,473,371,307,678,54.54545455,54.71976401
08,2021,303,212,515,304,267,571,58.83495146,53.23992995
08,2022,237,126,363,365,228,593,65.2892562,61.55143339
08,2023,204,108,312,374,248,622,65.38461538,60.12861736
08,2024,158,113,271,362,237,599,58.30258303,60.43405676
08,2025,188,131,319,341,306,647,58.93416928,52.70479134
