Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,258,214,472,371,307,678,54.66101695,54.71976401
2021,303,212,515,304,267,571,58.83495146,53.23992995
2022,237,126,363,365,228,593,65.2892562,61.55143339
2023,204,108,312,374,247,621,65.38461538,60.22544283
2024,159,112,271,364,235,599,58.67158672,60.76794658
2025,188,131,319,341,306,647,58.93416928,52.70479134
