Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,3,724,197,9,291,16,388
2020,4,526,146,9,215,21,289
2021,2,416,150,6,204,17,270
2022,2,326,107,8,197,9,303
2023,5,337,110,14,180,9,290
2024,3,315,123,11,166,7,234
2025,6,397,104,17,206,12,215
