Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,59,71,68,63,105,4,30,5,405,17.8,17.5,64.7
2017 Q2,92,78,77,94,127,4,32,3,507,19.9,15.4,64.7
2017 Q3,70,55,71,78,107,3,23,6,413,21.1,13.3,65.6
2017 Q4,74,82,89,76,123,7,29,7,487,18.5,16.8,64.7
2018 Q1,73,74,59,81,96,4,28,3,418,21.1,17.7,61.2
2018 Q2,102,85,82,82,120,6,36,5,518,18.0,16.4,65.6
2018 Q3,95,75,73,55,118,3,27,6,452,14.2,16.6,69.2
2018 Q4,70,58,67,65,96,9,26,8,399,20.6,14.5,64.9
2019 Q1,54,97,74,73,127,5,24,1,455,17.4,21.3,61.3
2019 Q2,59,99,78,72,126,3,27,5,469,17.1,21.1,61.8
2019 Q3,58,73,54,72,76,8,20,6,367,23.4,19.9,56.7
2019 Q4,59,80,71,75,87,4,16,9,401,21.9,20.0,58.1
2020 Q1,65,72,64,69,68,2,14,7,361,21.6,19.9,58.4
2020 Q2,33,58,33,57,56,2,10,1,250,24.0,23.2,52.8
2020 Q3,48,88,66,64,85,2,16,8,377,19.6,23.3,57.0
2020 Q4,37,86,85,67,96,10,17,13,411,21.9,20.9,57.2
2021 Q1,42,74,66,78,84,5,23,4,376,23.1,19.7,57.2
2021 Q2,67,63,72,65,95,3,16,7,388,19.3,16.2,64.4
2021 Q3,77,69,88,63,89,1,15,8,410,17.6,16.8,65.6
2021 Q4,63,70,56,54,64,3,9,6,325,19.4,21.5,59.1
2022 Q1,65,63,67,70,83,3,8,6,365,21.6,17.3,61.1
2022 Q2,47,63,56,52,96,1,8,5,328,17.7,19.2,63.1
2022 Q3,57,80,56,52,72,5,20,6,348,18.1,23.0,58.9
2022 Q4,34,45,63,67,73,3,7,2,294,24.5,15.3,60.2
2023 Q1,59,62,56,56,76,5,5,5,324,20.4,19.1,60.5
2023 Q2,66,58,52,85,80,11,8,3,363,27.3,16.0,56.7
2023 Q3,73,43,41,62,82,8,8,7,324,23.8,13.3,63.0
2023 Q4,47,58,31,69,81,2,7,4,299,25.1,19.4,55.5
2024 Q1,52,45,42,71,69,5,15,3,302,26.2,14.9,58.9
2024 Q2,51,48,59,55,56,5,10,2,286,21.7,16.8,61.5
2024 Q3,49,57,54,50,71,7,15,4,307,19.9,18.6,61.6
2024 Q4,67,58,51,54,67,0,9,3,309,18.4,18.8,62.8
2025 Q1,54,56,43,59,58,4,25,2,301,21.6,18.6,59.8
2025 Q2,70,59,46,50,72,4,16,2,319,17.6,18.5,63.9
2025 Q3,61,68,42,59,51,7,12,6,306,23.5,22.2,54.2
2025 Q4,53,65,31,57,51,5,15,3,280,23.2,23.2,53.6
