Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,198,73,271,964,341,1305,9,3,12,3443,1009,4452,26.9,26.1,25.0,22.7
2020,138,72,210,753,280,1033,16,7,23,2413,828,3241,34.3,27.1,30.4,25.5
2021,129,91,220,743,333,1076,16,10,26,2423,982,3405,41.4,30.9,38.5,28.8
2022,133,82,215,647,385,1032,9,5,14,2106,1032,3138,38.1,37.3,35.7,32.9
2023,140,83,223,688,383,1071,13,7,20,1957,986,2943,37.2,35.8,35.0,33.5
2024,137,75,212,771,377,1148,9,10,19,2103,846,2949,35.4,32.8,52.6,28.7
2025,141,97,238,754,420,1174,6,8,14,2118,950,3068,40.8,35.8,57.1,31.0
