Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3033.0,570.0,2538.0,306.0,483.0,206.0,18.0,216.0
Change since 2024,18.0155642,25.27472527,1.92771084,-4.07523511,0.0,24.09638554,-5.26315789,-8.47457627
