Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,66,65,79,0,4,271
2021,60,55,97,2,5,284
2022,58,44,96,1,4,248
2023,65,42,94,1,8,253
2024,56,38,127,1,14,219
2025,67,42,109,0,15,231
