District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
06,2017 Q1,21,51,72,29.16666667
06,2017 Q2,23,44,67,34.32835821
06,2017 Q3,36,53,89,40.4494382
06,2017 Q4,30,62,92,32.60869565
06,2018 Q1,29,63,92,31.52173913
06,2018 Q2,35,60,95,36.84210526
06,2018 Q3,32,44,76,42.10526316
06,2018 Q4,30,81,111,27.02702703
06,2019 Q1,27,70,97,27.83505155
06,2019 Q2,31,61,92,33.69565217
06,2019 Q3,29,57,86,33.72093023
06,2019 Q4,27,63,90,30.0
06,2020 Q1,34,51,85,40.0
06,2020 Q2,27,35,62,43.5483871
06,2020 Q3,27,47,74,36.48648649
06,2020 Q4,28,26,54,51.85185185
06,2021 Q1,22,31,53,41.50943396
06,2021 Q2,32,40,72,44.44444444
06,2021 Q3,31,59,90,34.44444444
06,2021 Q4,37,37,74,50.0
06,2022 Q1,24,39,63,38.0952381
06,2022 Q2,31,45,76,40.78947368
06,2022 Q3,32,39,71,45.07042254
06,2022 Q4,22,20,42,52.38095238
06,2023 Q1,22,44,66,33.33333333
06,2023 Q2,28,47,75,37.33333333
06,2023 Q3,26,38,64,40.625
06,2023 Q4,29,27,56,51.78571429
06,2024 Q1,28,29,57,49.12280702
06,2024 Q2,26,28,54,48.14814815
06,2024 Q3,31,23,54,57.40740741
06,2024 Q4,29,39,68,42.64705882
06,2025 Q1,28,33,61,45.90163934
06,2025 Q2,43,22,65,66.15384615
06,2025 Q3,25,31,56,44.64285714
06,2025 Q4,26,38,64,40.625
06,2026 Q1,27,27,54,50.0
06,2026 Q2,27,18,45,60.0
