Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,219.084,136.0
2017 Q2,183.3043,141.0
2017 Q3,177.9128,151.0
2017 Q4,207.1242,163.0
2018 Q1,167.3267,128.0
2018 Q2,140.4795,114.0
2018 Q3,156.0677,120.0
2018 Q4,180.7833,147.5
2019 Q1,180.1379,153.0
2019 Q2,206.1,142.0
2019 Q3,196.7862,148.0
2019 Q4,213.1097,143.0
2020 Q1,208.3383,156.0
2020 Q2,206.2604,169.0
2020 Q3,218.3231,171.0
2020 Q4,198.8421,140.5
2021 Q1,233.0404,170.0
2021 Q2,200.0732,155.0
2021 Q3,195.2374,140.0
2021 Q4,217.7016,166.5
2022 Q1,233.9758,184.0
2022 Q2,232.9483,181.5
2022 Q3,247.1825,172.0
2022 Q4,222.9589,155.0
2023 Q1,196.0,141.5
2023 Q2,196.6694,137.5
2023 Q3,241.1404,161.5
2023 Q4,174.9902,115.0
2024 Q1,214.1458,151.0
2024 Q2,242.2091,185.0
2024 Q3,225.313,169.0
2024 Q4,222.3089,175.0
2025 Q1,216.1193,158.0
2025 Q2,184.5344,122.0
2025 Q3,192.0388,162.0
2025 Q4,199.1238,144.0
2026 Q1,180.766,146.0
2026 Q2,234.046,161.0
