Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,467,261,500,2,27,631
2021,517,389,600,3,22,799
2022,486,323,696,5,28,755
2023,495,365,618,3,21,750
2024,582,374,690,4,43,748
2025,615,387,667,4,21,728
