Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,26,19,45,16,30,46,4,3,7,66,104,170,57.77777778,34.7826087,57.14285714,38.82352941
2021,21,18,39,15,37,52,4,1,5,77,108,185,53.84615385,28.84615385,80.0,41.62162162
2022,22,17,39,25,18,43,2,7,9,59,99,158,56.41025641,58.13953488,22.22222222,37.34177215
2023,27,30,57,14,22,36,1,3,4,61,100,161,47.36842105,38.88888889,25.0,37.88819876
2024,22,22,44,22,18,40,1,5,6,69,72,141,50.0,55.0,16.66666667,48.93617021
2025,19,21,40,22,19,41,3,5,8,75,77,152,47.5,53.65853659,37.5,49.34210526
