Metric,Felony,Misdemeanor
Cases Resolved 2025,464.0,2422.0
Change since 2024,1.97802198,-0.77836952
,,
Cases Resolved Quarter 4 2025,110.0,648.0
Change since Quarter 4 2024,-13.38582677,9.83050847
