Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,21,51,72,29.2
2017 Q2,23,44,67,34.3
2017 Q3,36,53,89,40.4
2017 Q4,30,62,92,32.6
2018 Q1,29,63,92,31.5
2018 Q2,35,60,95,36.8
2018 Q3,32,44,76,42.1
2018 Q4,30,81,111,27.0
2019 Q1,27,70,97,27.8
2019 Q2,31,61,92,33.7
2019 Q3,29,57,86,33.7
2019 Q4,27,63,90,30.0
2020 Q1,34,51,85,40.0
2020 Q2,27,35,62,43.5
2020 Q3,27,47,74,36.5
2020 Q4,28,26,54,51.9
2021 Q1,22,31,53,41.5
2021 Q2,32,40,72,44.4
2021 Q3,31,59,90,34.4
2021 Q4,37,37,74,50.0
2022 Q1,24,39,63,38.1
2022 Q2,31,45,76,40.8
2022 Q3,32,39,71,45.1
2022 Q4,22,20,42,52.4
2023 Q1,22,44,66,33.3
2023 Q2,28,47,75,37.3
2023 Q3,26,38,64,40.6
2023 Q4,29,27,56,51.8
2024 Q1,28,29,57,49.1
2024 Q2,26,28,54,48.1
2024 Q3,31,23,54,57.4
2024 Q4,29,39,68,42.6
2025 Q1,28,33,61,45.9
2025 Q2,43,22,65,66.2
2025 Q3,25,31,56,44.6
2025 Q4,26,38,64,40.6
2026 Q1,27,27,54,50.0
2026 Q2,29,19,48,60.4
