District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
06,2020,66,65,79,0,4,271
06,2021,60,55,97,2,5,284
06,2022,58,44,96,1,4,248
06,2023,65,42,94,1,8,253
06,2024,56,38,127,1,14,219
06,2025,67,42,109,0,15,231
