Metric,Felony,Misdemeanor
Cases Resolved 2025,467.0,2425.0
Change since 2024,2.63736264,-0.65546907
,,
Cases Resolved Quarter 4 2025,110.0,648.0
Change since Quarter 4 2024,-13.38582677,9.83050847
