Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,17,33,50,15,37,52,3,5,8,77,170,247,34.0,28.8,37.5,31.2
2020,26,19,45,16,30,46,4,3,7,66,104,170,57.8,34.8,57.1,38.8
2021,21,18,39,15,37,52,4,1,5,77,108,185,53.8,28.8,80.0,41.6
2022,22,17,39,24,18,42,3,7,10,59,99,158,56.4,57.1,30.0,37.3
2023,27,30,57,14,22,36,1,3,4,61,100,161,47.4,38.9,25.0,37.9
2024,22,22,44,22,18,40,1,5,6,69,72,141,50.0,55.0,16.7,48.9
2025,20,21,41,21,19,40,4,5,9,75,77,152,48.8,52.5,44.4,49.3
