Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.4444,20.8462
2017 Q2,15.8,20.1538
2017 Q3,21.9333,20.2143
2017 Q4,15.8261,21.2667
2018 Q1,13.76,21.9231
2018 Q2,16.25,17.4737
2018 Q3,13.1818,15.0455
2018 Q4,18.3,17.3158
2019 Q1,15.6842,17.8333
2019 Q2,15.35,16.3158
2019 Q3,17.087,15.0952
2019 Q4,14.75,15.0
2020 Q1,15.3913,14.0476
2020 Q2,13.3529,10.875
2020 Q3,14.381,13.4375
2020 Q4,14.9,12.1176
2021 Q1,16.4,14.3333
2021 Q2,15.9333,16.1
2021 Q3,17.5294,17.2
2021 Q4,17.25,20.4286
2022 Q1,19.6875,16.4118
2022 Q2,21.6875,21.5714
2022 Q3,14.375,19.0714
2022 Q4,19.8,17.7857
2023 Q1,18.8462,22.0769
2023 Q2,22.3889,18.125
2023 Q3,19.3529,17.1875
2023 Q4,20.1579,18.6471
2024 Q1,18.05,20.1176
2024 Q2,15.7727,21.4
2024 Q3,15.2727,17.3889
2024 Q4,16.381,16.4444
2025 Q1,16.6316,18.5714
2025 Q2,17.3333,18.2105
2025 Q3,15.9474,19.2353
2025 Q4,19.6667,17.375
2026 Q1,18.2941,14.7222
2026 Q2,14.8889,13.6471
