Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,722,492,148,8,20,1674
2021,914,1006,264,17,86,2687
2022,1115,1369,221,11,72,3370
2023,911,1143,352,10,103,3225
2024,878,921,373,16,85,2980
2025,825,970,413,13,92,3502
