Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,212,125,127,4,23,1230
2021,236,187,144,9,19,1281
2022,210,167,165,8,29,1401
2023,200,146,143,9,17,1209
2024,146,97,144,9,40,979
2025,111,85,153,6,22,935
