Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,367,182,549,66.84881603,33.15118397
2017 Q2,342,247,589,58.06451613,41.93548387
2017 Q3,320,215,535,59.81308411,40.18691589
2017 Q4,278,183,461,60.30368764,39.69631236
2018 Q1,372,208,580,64.13793103,35.86206897
2018 Q2,412,220,632,65.18987342,34.81012658
2018 Q3,435,241,676,64.34911243,35.65088757
2018 Q4,347,192,539,64.37847866,35.62152134
2019 Q1,331,189,520,63.65384615,36.34615385
2019 Q2,409,241,650,62.92307692,37.07692308
2019 Q3,341,220,561,60.78431373,39.21568627
2019 Q4,397,192,589,67.40237691,32.59762309
2020 Q1,398,205,603,66.00331675,33.99668325
2020 Q2,231,63,294,78.57142857,21.42857143
2020 Q3,302,66,368,82.06521739,17.93478261
2020 Q4,335,81,416,80.52884615,19.47115385
2021 Q1,374,89,463,80.7775378,19.2224622
2021 Q2,344,104,448,76.78571429,23.21428571
2021 Q3,339,131,470,72.12765957,27.87234043
2021 Q4,340,102,442,76.92307692,23.07692308
2022 Q1,390,117,507,76.92307692,23.07692308
2022 Q2,366,107,473,77.37843552,22.62156448
2022 Q3,381,133,514,74.12451362,25.87548638
2022 Q4,334,107,441,75.73696145,24.26303855
2023 Q1,342,81,423,80.85106383,19.14893617
2023 Q2,310,106,416,74.51923077,25.48076923
2023 Q3,289,120,409,70.6601467,29.3398533
2023 Q4,295,118,413,71.42857143,28.57142857
2024 Q1,266,102,368,72.2826087,27.7173913
2024 Q2,278,115,393,70.73791349,29.26208651
2024 Q3,210,94,304,69.07894737,30.92105263
2024 Q4,229,72,301,76.07973422,23.92026578
2025 Q1,234,80,314,74.52229299,25.47770701
2025 Q2,258,84,342,75.43859649,24.56140351
2025 Q3,239,75,314,76.11464968,23.88535032
2025 Q4,228,72,300,76.0,24.0
2026 Q1,247,56,303,81.51815182,18.48184818
2026 Q2,214,70,284,75.35211268,24.64788732
