Metric,Felony,Misdemeanor
Cases Resolved 2025,1313.0,5819.0
Change since 2024,-7.2740113,10.77479536
,,
Cases Resolved Quarter 4 2025,311.0,1624.0
Change since Quarter 4 2024,-3.1152648,25.98913887
