Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,174,237,411,42.3
2017 Q2,198,252,450,44.0
2017 Q3,151,256,407,37.1
2017 Q4,141,215,356,39.6
2018 Q1,204,236,440,46.4
2018 Q2,191,286,477,40.0
2018 Q3,210,280,490,42.9
2018 Q4,174,253,427,40.7
2019 Q1,191,222,413,46.2
2019 Q2,245,265,510,48.0
2019 Q3,214,215,429,49.9
2019 Q4,219,241,460,47.6
2020 Q1,249,213,462,53.9
2020 Q2,85,138,223,38.1
2020 Q3,134,134,268,50.0
2020 Q4,148,150,298,49.7
2021 Q1,152,183,335,45.4
2021 Q2,116,192,308,37.7
2021 Q3,139,204,343,40.5
2021 Q4,125,188,313,39.9
2022 Q1,151,226,377,40.1
2022 Q2,151,206,357,42.3
2022 Q3,169,209,378,44.7
2022 Q4,151,167,318,47.5
2023 Q1,132,174,306,43.1
2023 Q2,129,181,310,41.6
2023 Q3,117,190,307,38.1
2023 Q4,111,192,303,36.6
2024 Q1,107,162,269,39.8
2024 Q2,109,182,291,37.5
2024 Q3,99,135,234,42.3
2024 Q4,79,144,223,35.4
2025 Q1,77,171,248,31.0
2025 Q2,99,164,263,37.6
2025 Q3,85,139,224,37.9
2025 Q4,84,137,221,38.0
2026 Q1,73,153,226,32.3
2026 Q2,83,155,238,34.9
