District,Disposition Quarter,Average number of hearings per case
21,2017 Q1,8.6427
21,2017 Q2,8.5929
21,2017 Q3,8.9204
21,2017 Q4,9.3275
21,2018 Q1,9.2813
21,2018 Q2,9.5024
21,2018 Q3,8.816
21,2018 Q4,8.8727
21,2019 Q1,9.2038
21,2019 Q2,9.12
21,2019 Q3,9.1581
21,2019 Q4,9.1841
21,2020 Q1,9.395
21,2020 Q2,10.0135
21,2020 Q3,10.836
21,2020 Q4,10.493
21,2021 Q1,11.6451
21,2021 Q2,11.1763
21,2021 Q3,10.0989
21,2021 Q4,10.9867
21,2022 Q1,10.9276
21,2022 Q2,11.3737
21,2022 Q3,11.1538
21,2022 Q4,11.0294
21,2023 Q1,11.6268
21,2023 Q2,11.3044
21,2023 Q3,10.8969
21,2023 Q4,10.9721
21,2024 Q1,11.504
21,2024 Q2,11.0173
21,2024 Q3,10.1258
21,2024 Q4,10.8471
21,2025 Q1,10.5805
21,2025 Q2,10.9282
21,2025 Q3,11.7671
21,2025 Q4,11.1748
21,2026 Q1,11.8137
21,2026 Q2,10.8642
