Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
2017 Q1,628,127,755,83.17880795,16.82119205
2017 Q2,686,175,861,79.67479675,20.32520325
2017 Q3,781,166,947,82.47096093,17.52903907
2017 Q4,741,159,900,82.33333333,17.66666667
2018 Q1,910,242,1152,78.99305556,21.00694444
2018 Q2,942,231,1173,80.30690537,19.69309463
2018 Q3,913,253,1166,78.30188679,21.69811321
2018 Q4,736,233,969,75.95459236,24.04540764
2019 Q1,862,273,1135,75.94713656,24.05286344
2019 Q2,872,180,1052,82.88973384,17.11026616
2019 Q3,837,244,1081,77.42830712,22.57169288
2019 Q4,739,212,951,77.70767613,22.29232387
2020 Q1,679,152,831,81.7087846,18.2912154
2020 Q2,382,135,517,73.88781431,26.11218569
2020 Q3,722,74,796,90.70351759,9.29648241
2020 Q4,773,50,823,93.92466586,6.07533414
2021 Q1,984,53,1037,94.88910318,5.11089682
2021 Q2,898,53,951,94.42691903,5.57308097
2021 Q3,1096,219,1315,83.3460076,16.6539924
2021 Q4,1082,408,1490,72.61744966,27.38255034
2022 Q1,1243,322,1565,79.42492013,20.57507987
2022 Q2,1180,330,1510,78.14569536,21.85430464
2022 Q3,1134,307,1441,78.69535045,21.30464955
2022 Q4,1150,307,1457,78.92930679,21.07069321
2023 Q1,1209,309,1518,79.64426877,20.35573123
2023 Q2,1253,226,1479,84.719405,15.280595
2023 Q3,1168,162,1330,87.81954887,12.18045113
2023 Q4,1005,194,1199,83.81984987,16.18015013
2024 Q1,1191,179,1370,86.93430657,13.06569343
2024 Q2,1106,178,1284,86.13707165,13.86292835
2024 Q3,1063,149,1212,87.70627063,12.29372937
2024 Q4,1027,126,1153,89.07198612,10.92801388
2025 Q1,1315,134,1449,90.75224293,9.24775707
2025 Q2,1252,160,1412,88.66855524,11.33144476
2025 Q3,1092,162,1254,87.08133971,12.91866029
2025 Q4,1246,204,1450,85.93103448,14.06896552
2026 Q1,1217,187,1404,86.68091168,13.31908832
2026 Q2,1135,154,1289,88.05275407,11.94724593
