Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,3,10,13,121,118,239,32,35,67,693,759,1452,23.1,50.6,47.8,47.7
2020,2,3,5,77,119,196,30,40,70,493,461,954,40.0,39.3,42.9,51.7
2021,2,3,5,72,141,213,11,25,36,436,586,1022,40.0,33.8,30.6,42.7
2022,4,5,9,77,126,203,13,24,37,515,640,1155,44.4,37.9,35.1,44.6
2023,2,7,9,66,137,203,23,20,43,394,565,959,22.2,32.5,53.5,41.1
2024,3,7,10,62,111,173,24,22,46,300,476,776,30.0,35.8,52.2,38.7
2025,3,3,6,58,93,151,14,23,37,270,472,742,50.0,38.4,37.8,36.4
