District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
21,2017 Q1,201.4827,161.0
21,2017 Q2,194.4211,156.0
21,2017 Q3,195.5439,144.0
21,2017 Q4,193.4425,155.0
21,2018 Q1,206.1241,170.5
21,2018 Q2,211.0301,166.0
21,2018 Q3,223.6657,176.0
21,2018 Q4,196.0557,154.0
21,2019 Q1,203.6058,160.0
21,2019 Q2,210.5108,160.0
21,2019 Q3,202.0856,161.0
21,2019 Q4,220.691,170.0
21,2020 Q1,222.4428,174.0
21,2020 Q2,287.9082,239.0
21,2020 Q3,298.8832,240.0
21,2020 Q4,305.8125,253.0
21,2021 Q1,315.1166,247.0
21,2021 Q2,284.4397,214.0
21,2021 Q3,275.1447,225.5
21,2021 Q4,270.5204,216.0
21,2022 Q1,288.6055,232.0
21,2022 Q2,293.2812,224.0
21,2022 Q3,288.0856,225.0
21,2022 Q4,286.0091,218.0
21,2023 Q1,305.9669,239.0
21,2023 Q2,258.2572,212.0
21,2023 Q3,269.8215,213.0
21,2023 Q4,257.1574,185.0
21,2024 Q1,275.644,207.0
21,2024 Q2,247.4606,197.0
21,2024 Q3,238.4901,174.5
21,2024 Q4,252.7533,202.0
21,2025 Q1,236.4745,190.5
21,2025 Q2,255.8743,220.0
21,2025 Q3,271.535,227.5
21,2025 Q4,259.2133,214.0
21,2026 Q1,291.8967,239.5
21,2026 Q2,256.6017,231.0
