Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
2017,408,1623,2303,2876,9
2018,437,1663,2406,3150,9
2019,552,1690,2245,3035,27
2020,399,1603,2240,2861,42
2021,442,1683,2658,3567,30
2022,492,1762,2414,3911,9
2023,480,1523,2267,4003,6
2024,468,1572,2155,4083,1
2025,376,1555,1892,4229,6
