Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3855,1592,1772
2018,3738,1906,2021
2019,3541,1822,2186
2020,3149,1918,2078
2021,3501,2518,2361
2022,3675,2367,2546
2023,3506,2236,2537
2024,3488,2308,2483
2025,3346,2112,2600
