Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,3853,1592,1774
2018,3738,1906,2021
2019,3539,1822,2188
2020,3149,1918,2078
2021,3500,2518,2362
2022,3676,2366,2546
2023,3503,2241,2535
2024,3489,2309,2482
2025,3332,2118,2608
