Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,8,58,66,12.1,87.9
2017 Q2,4,77,81,4.9,95.1
2017 Q3,8,80,88,9.1,90.9
2017 Q4,6,57,63,9.5,90.5
2018 Q1,5,76,81,6.2,93.8
2018 Q2,8,72,80,10.0,90.0
2018 Q3,4,80,84,4.8,95.2
2018 Q4,6,58,64,9.4,90.6
2019 Q1,6,51,57,10.5,89.5
2019 Q2,8,85,93,8.6,91.4
2019 Q3,9,72,81,11.1,88.9
2019 Q4,15,64,79,19.0,81.0
2020 Q1,7,56,63,11.1,88.9
2020 Q2,7,64,71,9.9,90.1
2020 Q3,15,71,86,17.4,82.6
2020 Q4,17,62,79,21.5,78.5
2021 Q1,19,83,102,18.6,81.4
2021 Q2,13,74,87,14.9,85.1
2021 Q3,12,66,78,15.4,84.6
2021 Q4,11,51,62,17.7,82.3
2022 Q1,15,54,69,21.7,78.3
2022 Q2,20,80,100,20.0,80.0
2022 Q3,11,69,80,13.8,86.2
2022 Q4,12,83,95,12.6,87.4
2023 Q1,12,67,79,15.2,84.8
2023 Q2,15,53,68,22.1,77.9
2023 Q3,17,75,92,18.5,81.5
2023 Q4,22,78,100,22.0,78.0
2024 Q1,16,55,71,22.5,77.5
2024 Q2,30,72,102,29.4,70.6
2024 Q3,15,66,81,18.5,81.5
2024 Q4,14,58,72,19.4,80.6
2025 Q1,19,57,76,25.0,75.0
2025 Q2,12,75,87,13.8,86.2
2025 Q3,16,67,83,19.3,80.7
2025 Q4,11,60,71,15.5,84.5
2026 Q1,22,57,79,27.8,72.2
2026 Q2,13,59,72,18.1,81.9
