Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,91,54,92,237
2017 Q2,93,52,107,252
2017 Q3,92,57,108,257
2017 Q4,102,47,69,218
2018 Q1,85,63,89,237
2018 Q2,127,70,91,288
2018 Q3,118,72,92,282
2018 Q4,133,51,70,254
2019 Q1,113,46,63,222
2019 Q2,126,51,89,266
2019 Q3,100,46,69,215
2019 Q4,103,58,80,241
2020 Q1,110,39,64,213
2020 Q2,62,30,47,139
2020 Q3,55,27,52,134
2020 Q4,68,42,41,151
2021 Q1,95,36,52,183
2021 Q2,104,42,46,192
2021 Q3,120,49,36,205
2021 Q4,115,36,37,188
2022 Q1,135,50,41,226
2022 Q2,112,45,49,206
2022 Q3,121,47,41,209
2022 Q4,73,47,47,167
2023 Q1,91,33,50,174
2023 Q2,103,41,37,181
2023 Q3,99,51,40,190
2023 Q4,107,47,38,192
2024 Q1,84,39,39,162
2024 Q2,96,45,43,184
2024 Q3,74,30,32,136
2024 Q4,84,28,32,144
2025 Q1,109,26,38,173
2025 Q2,78,42,44,164
2025 Q3,57,36,47,140
2025 Q4,60,31,47,138
2026 Q1,70,38,40,148
2026 Q2,60,37,23,120
