District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
21,2017 Q1,91,54,92,237
21,2017 Q2,93,52,107,252
21,2017 Q3,92,57,108,257
21,2017 Q4,102,47,69,218
21,2018 Q1,85,63,89,237
21,2018 Q2,127,70,91,288
21,2018 Q3,118,72,92,282
21,2018 Q4,133,51,70,254
21,2019 Q1,113,46,63,222
21,2019 Q2,126,51,89,266
21,2019 Q3,100,46,69,215
21,2019 Q4,103,58,80,241
21,2020 Q1,110,39,64,213
21,2020 Q2,62,30,47,139
21,2020 Q3,55,27,52,134
21,2020 Q4,68,42,41,151
21,2021 Q1,95,36,52,183
21,2021 Q2,104,42,46,192
21,2021 Q3,120,49,36,205
21,2021 Q4,115,36,37,188
21,2022 Q1,135,50,41,226
21,2022 Q2,112,45,49,206
21,2022 Q3,121,47,41,209
21,2022 Q4,73,47,47,167
21,2023 Q1,91,33,50,174
21,2023 Q2,103,41,37,181
21,2023 Q3,99,51,40,190
21,2023 Q4,107,47,38,192
21,2024 Q1,84,39,39,162
21,2024 Q2,96,45,43,184
21,2024 Q3,74,30,32,136
21,2024 Q4,84,28,32,144
21,2025 Q1,109,26,38,173
21,2025 Q2,78,42,44,164
21,2025 Q3,57,36,47,140
21,2025 Q4,60,31,47,138
21,2026 Q1,70,38,40,148
21,2026 Q2,60,37,23,120
