Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,5874,262,852,34,24,155,18
2018,6181,260,974,38,13,177,22
2019,5942,246,990,47,21,248,55
2020,5686,275,970,28,14,143,29
2021,6636,268,1164,50,27,195,40
2022,6873,312,1211,40,19,116,17
2023,6709,298,1054,40,29,145,4
2024,6745,296,1001,43,37,147,11
2025,6457,301,1101,47,29,112,11
