Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,5037,2150,2,30
2018,5443,2188,6,28
2019,5240,2279,5,25
2020,5092,2029,5,19
2021,5930,2398,4,48
2022,6086,2482,0,20
2023,5771,2491,1,16
2024,5769,2477,1,32
2025,5750,2290,1,17
