Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,3,30,33,9.1,90.9
2017 Q2,3,63,66,4.5,95.5
2017 Q3,6,91,97,6.2,93.8
2017 Q4,14,90,104,13.5,86.5
2018 Q1,7,56,63,11.1,88.9
2018 Q2,10,77,87,11.5,88.5
2018 Q3,9,99,108,8.3,91.7
2018 Q4,14,120,134,10.4,89.6
2019 Q1,8,32,40,20.0,80.0
2019 Q2,5,56,61,8.2,91.8
2019 Q3,11,76,87,12.6,87.4
2019 Q4,21,118,139,15.1,84.9
2020 Q1,8,79,87,9.2,90.8
2020 Q2,18,79,97,18.6,81.4
2020 Q3,11,85,96,11.5,88.5
2020 Q4,13,83,96,13.5,86.5
2021 Q1,16,96,112,14.3,85.7
2021 Q2,15,59,74,20.3,79.7
2021 Q3,13,75,88,14.8,85.2
2021 Q4,18,90,108,16.7,83.3
2022 Q1,17,63,80,21.2,78.8
2022 Q2,26,85,111,23.4,76.6
2022 Q3,21,96,117,17.9,82.1
2022 Q4,22,90,112,19.6,80.4
2023 Q1,17,82,99,17.2,82.8
2023 Q2,22,81,103,21.4,78.6
2023 Q3,23,99,122,18.9,81.1
2023 Q4,15,84,99,15.2,84.8
2024 Q1,30,102,132,22.7,77.3
2024 Q2,14,70,84,16.7,83.3
2024 Q3,20,90,110,18.2,81.8
2024 Q4,15,93,108,13.9,86.1
2025 Q1,19,77,96,19.8,80.2
2025 Q2,21,95,116,18.1,81.9
2025 Q3,15,87,102,14.7,85.3
2025 Q4,23,81,104,22.1,77.9
2026 Q1,7,51,58,12.1,87.9
2026 Q2,17,79,96,17.7,82.3
