Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,4022,928,1441
2018,4201,1194,1845
2019,5067,1447,2242
2020,3723,1381,2094
2021,3927,1785,2154
2022,4278,1796,2192
2023,4661,1819,2441
2024,5584,2036,2759
2025,5273,1957,2498
