Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,4411,325,1355,34,86,33,147
2018,5049,412,1600,40,101,27,11
2019,6191,467,1926,57,89,24,2
2020,4710,394,1927,49,95,23,0
2021,5082,431,2193,38,107,15,0
2022,5156,512,2412,39,115,29,3
2023,5476,529,2688,28,125,74,1
2024,5867,564,3666,52,133,97,0
2025,5624,608,3241,41,125,80,9
