Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,4692,1542,0,157
2018,5418,1821,0,1
2019,6490,2264,0,2
2020,5402,1795,0,1
2021,5939,1927,0,0
2022,6184,2079,0,3
2023,6670,2250,0,1
2024,7829,2548,0,2
2025,7211,2510,0,7
