Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,4024,925,1442
2018,4203,1190,1847
2019,5070,1443,2243
2020,3723,1378,2097
2021,3928,1781,2157
2022,4279,1796,2191
2023,4664,1816,2441
2024,5586,2032,2761
2025,5278,1951,2499
