District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
20,2017 Q1,45,36,73,154
20,2017 Q2,67,52,68,187
20,2017 Q3,45,34,59,138
20,2017 Q4,69,40,72,181
20,2018 Q1,54,37,58,149
20,2018 Q2,64,40,59,163
20,2018 Q3,70,33,46,149
20,2018 Q4,73,40,48,161
20,2019 Q1,62,33,47,142
20,2019 Q2,73,31,52,156
20,2019 Q3,63,33,53,149
20,2019 Q4,57,30,54,141
20,2020 Q1,69,34,46,149
20,2020 Q2,37,22,20,79
20,2020 Q3,62,30,39,131
20,2020 Q4,57,24,30,111
20,2021 Q1,66,37,29,132
20,2021 Q2,63,40,35,138
20,2021 Q3,84,37,41,162
20,2021 Q4,71,22,18,111
20,2022 Q1,72,41,18,131
20,2022 Q2,84,36,31,151
20,2022 Q3,77,35,27,139
20,2022 Q4,89,39,35,163
20,2023 Q1,81,36,29,146
20,2023 Q2,93,35,32,160
20,2023 Q3,89,34,36,159
20,2023 Q4,91,40,39,170
20,2024 Q1,89,31,50,170
20,2024 Q2,93,38,31,162
20,2024 Q3,81,34,40,155
20,2024 Q4,82,38,29,149
20,2025 Q1,88,56,32,176
20,2025 Q2,100,42,39,181
20,2025 Q3,68,40,34,142
20,2025 Q4,73,38,34,145
20,2026 Q1,71,30,45,146
20,2026 Q2,70,17,26,113
20,2026 Q3,0,0,1,1
20,2026 Q4,0,1,0,1
