Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,4407,327,1359,34,86,32,146
2018,5047,412,1603,39,101,27,11
2019,6195,466,1922,57,90,23,3
2020,4708,394,1929,49,95,23,0
2021,5083,431,2192,37,107,16,0
2022,5158,512,2410,38,115,30,3
2023,5471,529,2693,28,125,74,1
2024,5868,564,3662,53,135,97,0
2025,5628,607,3236,44,125,79,9
