District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
20,2017 Q1,3,30,33,9.09090909,90.90909091
20,2017 Q2,3,63,66,4.54545455,95.45454545
20,2017 Q3,6,91,97,6.18556701,93.81443299
20,2017 Q4,14,90,104,13.46153846,86.53846154
20,2018 Q1,7,56,63,11.11111111,88.88888889
20,2018 Q2,10,77,87,11.49425287,88.50574713
20,2018 Q3,9,99,108,8.33333333,91.66666667
20,2018 Q4,14,120,134,10.44776119,89.55223881
20,2019 Q1,8,32,40,20.0,80.0
20,2019 Q2,5,56,61,8.19672131,91.80327869
20,2019 Q3,11,76,87,12.64367816,87.35632184
20,2019 Q4,21,118,139,15.10791367,84.89208633
20,2020 Q1,8,79,87,9.1954023,90.8045977
20,2020 Q2,18,79,97,18.55670103,81.44329897
20,2020 Q3,11,85,96,11.45833333,88.54166667
20,2020 Q4,13,83,96,13.54166667,86.45833333
20,2021 Q1,16,96,112,14.28571429,85.71428571
20,2021 Q2,15,59,74,20.27027027,79.72972973
20,2021 Q3,13,75,88,14.77272727,85.22727273
20,2021 Q4,18,90,108,16.66666667,83.33333333
20,2022 Q1,17,63,80,21.25,78.75
20,2022 Q2,26,85,111,23.42342342,76.57657658
20,2022 Q3,21,96,117,17.94871795,82.05128205
20,2022 Q4,22,90,112,19.64285714,80.35714286
20,2023 Q1,17,82,99,17.17171717,82.82828283
20,2023 Q2,22,81,103,21.3592233,78.6407767
20,2023 Q3,23,99,122,18.85245902,81.14754098
20,2023 Q4,15,84,99,15.15151515,84.84848485
20,2024 Q1,30,102,132,22.72727273,77.27272727
20,2024 Q2,14,70,84,16.66666667,83.33333333
20,2024 Q3,20,90,110,18.18181818,81.81818182
20,2024 Q4,15,93,108,13.88888889,86.11111111
20,2025 Q1,19,77,96,19.79166667,80.20833333
20,2025 Q2,21,95,116,18.10344828,81.89655172
20,2025 Q3,15,87,102,14.70588235,85.29411765
20,2025 Q4,23,81,104,22.11538462,77.88461538
20,2026 Q1,7,51,58,12.06896552,87.93103448
20,2026 Q2,17,79,96,17.70833333,82.29166667
20,2026 Q3,0,2,2,0.0,100.0
