District,Filing Year,Male,Female,Another Gender,Unknown/Missing
20,2017,4693,1542,0,156
20,2018,5418,1821,0,1
20,2019,6490,2264,0,2
20,2020,5402,1795,0,1
20,2021,5939,1927,0,0
20,2022,6184,2079,0,3
20,2023,6670,2250,0,1
20,2024,7829,2548,0,2
20,2025,7211,2510,0,7
20,2026,3429,1157,0,15
