District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
22,2017 Q1,26,22,48,54.16666667
22,2017 Q2,23,15,38,60.52631579
22,2017 Q3,27,22,49,55.10204082
22,2017 Q4,25,19,44,56.81818182
22,2018 Q1,24,14,38,63.15789474
22,2018 Q2,12,13,25,48.0
22,2018 Q3,7,12,19,36.84210526
22,2018 Q4,6,12,18,33.33333333
22,2019 Q1,18,19,37,48.64864865
22,2019 Q2,29,35,64,45.3125
22,2019 Q3,6,24,30,20.0
22,2019 Q4,25,17,42,59.52380952
22,2020 Q1,15,11,26,57.69230769
22,2020 Q2,4,15,19,21.05263158
22,2020 Q3,10,19,29,34.48275862
22,2020 Q4,11,21,32,34.375
22,2021 Q1,17,25,42,40.47619048
22,2021 Q2,15,18,33,45.45454545
22,2021 Q3,16,11,27,59.25925926
22,2021 Q4,18,18,36,50.0
22,2022 Q1,13,19,32,40.625
22,2022 Q2,10,19,29,34.48275862
22,2022 Q3,25,23,48,52.08333333
22,2022 Q4,11,13,24,45.83333333
22,2023 Q1,15,14,29,51.72413793
22,2023 Q2,13,16,29,44.82758621
22,2023 Q3,11,13,24,45.83333333
22,2023 Q4,17,26,43,39.53488372
22,2024 Q1,19,15,34,55.88235294
22,2024 Q2,18,16,34,52.94117647
22,2024 Q3,15,23,38,39.47368421
22,2024 Q4,13,22,35,37.14285714
22,2025 Q1,19,26,45,42.22222222
22,2025 Q2,20,17,37,54.05405405
22,2025 Q3,8,20,28,28.57142857
22,2025 Q4,7,15,22,31.81818182
22,2026 Q1,12,18,30,40.0
22,2026 Q2,2,3,5,40.0
