District,Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
22,2020,192,45,66,0,19,52
22,2021,176,82,75,0,10,86
22,2022,132,84,77,1,4,77
22,2023,406,166,128,1,11,208
22,2024,441,216,182,3,20,339
22,2025,296,218,61,3,17,329
