District,Disposition Quarter,Average number of hearings per case
22,2017 Q1,9.5949
22,2017 Q2,9.2188
22,2017 Q3,6.7
22,2017 Q4,7.6053
22,2018 Q1,7.2857
22,2018 Q2,9.2857
22,2018 Q3,7.8387
22,2018 Q4,7.3529
22,2019 Q1,8.1912
22,2019 Q2,8.9175
22,2019 Q3,9.4082
22,2019 Q4,8.0588
22,2020 Q1,6.7708
22,2020 Q2,8.1081
22,2020 Q3,8.902
22,2020 Q4,8.1455
22,2021 Q1,9.1905
22,2021 Q2,7.9434
22,2021 Q3,8.6078
22,2021 Q4,7.9091
22,2022 Q1,9.0
22,2022 Q2,8.7231
22,2022 Q3,8.6974
22,2022 Q4,10.5814
22,2023 Q1,8.2391
22,2023 Q2,9.2364
22,2023 Q3,7.6739
22,2023 Q4,7.8272
22,2024 Q1,8.0533
22,2024 Q2,9.1429
22,2024 Q3,9.5493
22,2024 Q4,8.8923
22,2025 Q1,10.0725
22,2025 Q2,8.8966
22,2025 Q3,10.02
22,2025 Q4,8.75
22,2026 Q1,7.3256
22,2026 Q2,5.2857
