Metric,Felony,Misdemeanor
Cases Resolved 2025,214.0,1047.0
Change since 2024,-22.18181818,-12.60434057
,,
Cases Resolved Quarter 4 2025,36.0,135.0
Change since Quarter 4 2024,-44.61538462,-50.0
