Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2019,33,25,58,5,12,17,0,1,1,38,56,94,56.9,29.4,0.0,40.4
2020,18,26,44,4,4,8,0,2,2,18,32,50,40.9,50.0,0.0,36.0
2021,23,21,44,8,11,19,0,4,4,34,36,70,52.3,42.1,0.0,48.6
2022,21,19,40,7,13,20,1,1,2,28,41,69,52.5,35.0,50.0,40.6
2023,21,20,41,8,10,18,0,3,3,24,34,58,51.2,44.4,0.0,41.4
2024,24,29,53,11,11,22,0,0,0,28,32,60,45.3,50.0,,46.7
2025,14,31,45,5,8,13,1,0,1,26,36,62,31.1,38.5,100.0,41.9
