District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
22,2017 Q1,185.5696,157.0
22,2017 Q2,183.8438,150.5
22,2017 Q3,132.3924,106.0
22,2017 Q4,150.9733,132.0
22,2018 Q1,166.7818,120.0
22,2018 Q2,185.5122,170.0
22,2018 Q3,160.0323,126.0
22,2018 Q4,180.8485,133.0
22,2019 Q1,176.4,136.0
22,2019 Q2,191.9688,125.0
22,2019 Q3,180.1556,156.0
22,2019 Q4,193.9697,129.5
22,2020 Q1,148.4375,120.5
22,2020 Q2,215.75,144.0
22,2020 Q3,249.3725,184.0
22,2020 Q4,204.9455,140.0
22,2021 Q1,232.1429,190.0
22,2021 Q2,195.3585,149.0
22,2021 Q3,197.549,168.0
22,2021 Q4,187.8519,147.5
22,2022 Q1,239.2817,197.0
22,2022 Q2,203.7705,126.0
22,2022 Q3,249.8649,188.5
22,2022 Q4,247.0714,199.5
22,2023 Q1,221.6444,165.0
22,2023 Q2,210.9804,152.0
22,2023 Q3,209.2174,146.5
22,2023 Q4,179.284,129.0
22,2024 Q1,191.4667,136.0
22,2024 Q2,229.377,180.0
22,2024 Q3,259.7727,175.5
22,2024 Q4,206.0,160.5
22,2025 Q1,273.9697,219.5
22,2025 Q2,220.5556,167.0
22,2025 Q3,247.1224,209.0
22,2025 Q4,177.625,145.5
22,2026 Q1,175.3902,157.0
22,2026 Q2,89.7143,93.0
