Disposition Year,Native American Plea to Lesser Charge,Native American No Plea to Lesser Charge,Native American Total Guilty Pleas,Hispanic Plea to Lesser Charge,Hispanic No Plea to Lesser Charge,Hispanic Total Guilty Pleas,Black Plea to Lesser Charge,Black No Plea to Lesser Charge,Black Total Guilty Pleas,White Plea to Lesser Charge,White No Plea to Lesser Charge,White Total Guilty Pleas,Percent of Native American defendants pleading to a lesser charge,Percent of Hispanic defendants pleading to a lesser charge,Percent of Black defendants pleading to a lesser charge,Percent of White defendants pleading to a lesser charge
2020,18,26,44,4,4,8,0,2,2,18,32,50,40.90909091,50.0,0.0,36.0
2021,23,21,44,8,11,19,0,4,4,34,36,70,52.27272727,42.10526316,0.0,48.57142857
2022,21,19,40,7,13,20,1,1,2,28,41,69,52.5,35.0,50.0,40.57971014
2023,21,20,41,8,10,18,0,3,3,24,34,58,51.2195122,44.44444444,0.0,41.37931034
2024,24,29,53,11,11,22,0,0,0,28,32,60,45.28301887,50.0,,46.66666667
2025,14,31,45,5,8,13,1,0,1,26,36,62,31.11111111,38.46153846,100.0,41.93548387
