Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,26,22,48,54.2
2017 Q2,23,15,38,60.5
2017 Q3,27,22,49,55.1
2017 Q4,25,19,44,56.8
2018 Q1,24,14,38,63.2
2018 Q2,12,13,25,48.0
2018 Q3,7,12,19,36.8
2018 Q4,6,12,18,33.3
2019 Q1,18,19,37,48.6
2019 Q2,29,35,64,45.3
2019 Q3,6,24,30,20.0
2019 Q4,25,17,42,59.5
2020 Q1,15,11,26,57.7
2020 Q2,4,15,19,21.1
2020 Q3,10,19,29,34.5
2020 Q4,11,21,32,34.4
2021 Q1,17,25,42,40.5
2021 Q2,15,18,33,45.5
2021 Q3,16,11,27,59.3
2021 Q4,18,18,36,50.0
2022 Q1,13,19,32,40.6
2022 Q2,10,19,29,34.5
2022 Q3,25,23,48,52.1
2022 Q4,11,13,24,45.8
2023 Q1,15,14,29,51.7
2023 Q2,13,16,29,44.8
2023 Q3,11,13,24,45.8
2023 Q4,17,26,43,39.5
2024 Q1,19,15,34,55.9
2024 Q2,18,16,34,52.9
2024 Q3,15,23,38,39.5
2024 Q4,13,22,35,37.1
2025 Q1,19,26,45,42.2
2025 Q2,20,17,37,54.1
2025 Q3,8,20,28,28.6
2025 Q4,7,15,22,31.8
2026 Q1,12,18,30,40.0
2026 Q2,2,3,5,40.0
