Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,28,21,36,1,18,88
2021,29,31,24,2,17,121
2022,41,42,44,0,21,112
2023,32,38,33,1,12,113
2024,53,34,46,1,17,124
2025,30,23,28,1,7,125
