District,Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
22,2017 Q1,50,29,79,63.29113924,36.70886076
22,2017 Q2,37,27,64,57.8125,42.1875
22,2017 Q3,36,43,79,45.56962025,54.43037975
22,2017 Q4,40,35,75,53.33333333,46.66666667
22,2018 Q1,26,29,55,47.27272727,52.72727273
22,2018 Q2,27,14,41,65.85365854,34.14634146
22,2018 Q3,16,15,31,51.61290323,48.38709677
22,2018 Q4,17,16,33,51.51515152,48.48484848
22,2019 Q1,35,25,60,58.33333333,41.66666667
22,2019 Q2,48,48,96,50.0,50.0
22,2019 Q3,29,16,45,64.44444444,35.55555556
22,2019 Q4,36,30,66,54.54545455,45.45454545
22,2020 Q1,24,24,48,50.0,50.0
22,2020 Q2,25,11,36,69.44444444,30.55555556
22,2020 Q3,36,15,51,70.58823529,29.41176471
22,2020 Q4,30,25,55,54.54545455,45.45454545
22,2021 Q1,43,20,63,68.25396825,31.74603175
22,2021 Q2,32,21,53,60.37735849,39.62264151
22,2021 Q3,32,19,51,62.74509804,37.25490196
22,2021 Q4,31,23,54,57.40740741,42.59259259
22,2022 Q1,46,25,71,64.78873239,35.21126761
22,2022 Q2,31,30,61,50.81967213,49.18032787
22,2022 Q3,52,22,74,70.27027027,29.72972973
22,2022 Q4,28,14,42,66.66666667,33.33333333
22,2023 Q1,30,15,45,66.66666667,33.33333333
22,2023 Q2,33,18,51,64.70588235,35.29411765
22,2023 Q3,30,16,46,65.2173913,34.7826087
22,2023 Q4,42,39,81,51.85185185,48.14814815
22,2024 Q1,43,32,75,57.33333333,42.66666667
22,2024 Q2,45,16,61,73.7704918,26.2295082
22,2024 Q3,46,20,66,69.6969697,30.3030303
22,2024 Q4,42,20,62,67.74193548,32.25806452
22,2025 Q1,55,11,66,83.33333333,16.66666667
22,2025 Q2,32,22,54,59.25925926,40.74074074
22,2025 Q3,34,15,49,69.3877551,30.6122449
22,2025 Q4,19,13,32,59.375,40.625
22,2026 Q1,24,17,41,58.53658537,41.46341463
22,2026 Q2,0,7,7,0.0,100.0
