Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,59,238,297,51,158,209,19.9,24.4
2021,70,293,363,69,235,304,19.3,22.7
2022,82,333,415,70,293,363,19.8,19.3
2023,60,319,379,66,285,351,15.8,18.8
2024,62,274,336,65,266,331,18.5,19.6
2025,65,352,417,49,289,338,15.6,14.5
