District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
21,2020,158,141,299,52.84280936,47.15719064
21,2021,181,147,329,55.01519757,44.68085106
21,2022,185,157,344,53.77906977,45.63953488
21,2023,200,133,339,58.99705015,39.23303835
21,2024,197,127,326,60.42944785,38.95705521
21,2025,182,132,317,57.41324921,41.64037855
