Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,177,941,1118,299,1204,1503,15.8,19.9
2021,218,1312,1530,421,1976,2397,14.2,17.6
2022,230,1201,1431,444,2108,2552,16.1,17.4
2023,143,988,1131,483,2163,2646,12.6,18.3
2024,152,1017,1169,426,1794,2220,13.0,19.2
2025,135,1103,1238,341,1989,2330,10.9,14.6
